feature_id,n_active,best_concept,best_precision,best_lift,mcs_smarts,mcs_size,top_smiles
1270,5885,chiral_center,1.0,1.0029084344599337,[#6]-[#6]-[#6],3,C[C@H]([NH2+]Cc1cc[nH]c1)c1ccc(C#N)cc1 | C[C@H]([NH2+]C[C@H](O)CN1CCN(C)CC1)[C@H](C)n1cccn1 | N[C@H](CC1CCCC1)[C@@H]1C[NH+]2CCN1CC2 | CC[C@H]([NH3+])Cc1ccnc([C@H]2CN(CC)CCO2)n1 | C[C@H]([NH2+]CC1([C@H](O)c2ccccc2)CC1)c1nc2ccccc2s1
1940,6919,ring_S,1.0,6.093102607847917,"[#6](-,:[#6]:,-[#6]:,-[#6])-,:[#6]",5,CO[C@@H]1CCCN(C(=O)Nc2nnc(C)s2)C1 | CC[C@](C)([C@H]([NH3+])Cc1ccc(Cl)s1)N1CCCCC1 | CO[C@@H]1CCCN(C(=O)Nc2ccc(C)s2)C1 | C[NH+](C)[C@H](CNCc1cnc(-c2ccccc2)s1)c1cccs1 | CC1(CNC(=O)CNS(=O)(=O)c2ccc(Cl)s2)CCCC1
1922,5255,ring_O,1.0,3.935148748622698,"[#6]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",5,Cc1ccc(CNCc2ccc([O-])c[nH+]2)o1 | CCc1ccc([C@H](O)Cc2nccn2CC)o1 | CC[C@@H](NC)c1nnc(C[C@H](C)COC)o1 | CC(C)n1nccc1-c1nnc(NC(=O)c2ccc3c(c2)OCCO3)o1 | O=C([O-])c1ccc(CNC(=O)[C@H]2CCCOC2)o1
1505,3697,ring_N,1.0,1.267941370391033,"[#6]-,:[#7]-,:[#6]-,:[#6]:,-[#6]:[#7]",6,CCC[NH2+]Cc1cnn([C@H](C)CC)c1C(F)(F)F | CC[NH2+]Cc1cnn([C@@H](C)CC)c1C(F)F | CCC[NH2+]Cc1cnn(-c2ccc(F)cc2C)c1CC | C[C@@H](NC(=O)N1CCCC[C@@H]([NH+]2CCCC2)C1)c1cnn(C)c1 | C[NH2+]Cc1cnn(-c2cccc(C)c2)c1C(F)(F)F
333,8233,aromatic_ring_any,1.0,1.0762872395384881,"[#6](-,:[#6]-,:[#6])-,:[#6]-,:[#6]",5,COC(=O)c1c(F)cccc1NC(=O)CCc1cnn(C)c1C | COC(=O)[C@H](C)NC(=O)N1CCc2cn(C)c3cccc(c23)C1 | N#CCOc1cc(F)ccc1NC(=O)N1CCc2c([nH]c3ccccc23)C1 | Cc1nc[nH]c1-c1[nH+]ccn1CCc1scnc1C | CC(C)[C@H](C(=O)NCc1nccn1CCc1ccccc1)N(C)C
147,5888,ether,0.85,1.8090495041076065,"[#6]-,:[#6]-,:[#6]-,:[#6]",4,COC(=O)CNC(=O)[C@@H](C)[NH+](C)Cc1nc2ccccc2n1C | CC(=O)NCCCOC(=O)[C@@H]1CCOc2ccccc21 | COC(=O)CNC(=O)[C@@H](C)[NH+]1CCc2n[nH]cc2C1 | COCCNC(=O)CNC(=O)Nc1ccccc1Cc1ccccc1 | COC(=O)CCCCCNC(=O)C1(O)Cc2ccccc2C1
916,8486,aliphatic_ring,1.0,1.573960399156357,"[#6](-,:[#6]-,:[#6]-,:[#6]-,:[#6]):,-[#7]:,-[#6]",7,COc1ccc(-c2cnc3ncnn3c2N2CCN(C(=O)Nc3ccccc3C)CC2)cc1OC | Cn1cc(C(N)=O)c(CC2CCN(C(=O)CCCOc3cccc(F)c3)CC2)n1 | CC(C)CNC(=O)c1cn(C2CCN(C(=O)c3ccccc3F)CC2)nn1 | Cc1cnc2c(S(=O)(=O)N3CCN(C4CCCC4)CC3)cccc2c1 | CCc1ccc([C@@H](CNC(=O)C2CCN(C(=O)c3cccs3)CC2)[NH+](C)C)cc1
2647,3128,aromatic_ring_any,1.0,1.0762872395384881,"[#7]-,:[#6]-,:[#6]:,-[#6]:,-[#6]",5,[NH3+][C@H](Cc1cc(F)cc(F)c1)[C@H]1CCCc2cccnc21 | N[C@@H]([C@@H]1Cc2ccccc21)[C@@H]1CCCc2cccnc21 | [NH3+][C@H](Cc1ccc(Br)cc1)[C@@H]1CCCc2cccnc21 | CCn1c(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)cc2sccc21 | CNC(=O)NCC(=O)N1C[C@@H](C)C[NH+](C)c2ccccc21
1515,8028,nitrile,0.9,21.551724137931036,"[#6]-,:[#6]:,-[#6]:,-[#6]",4,Cn1ccnc(NC(=O)C2(C#N)CCCC2)c1=O | CC1(C(=O)Nc2ccc(C#CCN)cc2)CCCC1 | CSc1nc(NCc2ccco2)c(C#N)c(-c2ccc(C)cc2)n1 | CS(=O)(=O)NCCNCc1cc(C#N)cs1 | C#CCN(CC(=O)NC1(C#N)CCCC1)Cc1ccc(F)cc1
2860,5398,sulfonyl,0.7,7.340604026845637,"[#6]-,:[#6]-,:[#7]-,:[#6]-,:[#6]",5,CC1CC[NH+](C[C@H](O)C[N-]S(N)(=O)=O)CC1 | CCC[NH2+]C1CCC(N2C[C@@H](C)CS2(=O)=O)CC1 | CC[C@@H](Oc1ccccc1C)C(=O)NCc1ccc([S@@](C)=O)cc1 | COc1cc2oc(C)c(C)c2cc1/C(C)=C/C(=O)NCCc1ccc(S(N)(=O)=O)cc1 | C[C@H](Cn1cc[nH+]c1)NC(=O)N[C@@H](C)c1ccc(S(C)(=O)=O)cc1
3003,6698,aromatic_ring_any,1.0,1.0762872395384881,"[#6]-[#6](-,:[#6]-,:[#6])-,:[#7]-,:[#6](-,:[#6])-[#6]",8,CCN(CC)C(=O)[C@H](C)[NH2+][C@H](c1ccccc1)c1ccco1 | Cc1cccc(NC(=O)[C@H](C)[NH2+][C@@H](C)C(C)C)c1 | COC(=O)[C@H](CC(C)C)[NH2+][C@H](C)c1ccoc1 | CNC(=O)[C@@H](CC(C)C)[NH2+][C@H](C)c1nc2c(s1)CCCC2 | COc1ccc(NC(=O)[C@@H](C)[NH2+][C@@H](c2ccc(C)cc2)C2CC2)cc1
3010,3244,benzene,1.0,1.3610997686130393,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,6,COc1ccccc1CCNC(=O)Cc1ccc(Cl)cc1Cl | Nc1ccccc1CCCNC(=O)Nc1ccc(Cl)cc1 | CCOc1ccccc1CCNC(=O)C1(O)Cc2ccccc2C1 | COCCOc1ccccc1COC(=O)CCc1nc(C)no1 | Cc1ccccc1CCNC(=O)CSc1nc(-c2ccccc2F)n[nH]1
2469,8157,ether,0.8,1.7026348273953944,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,6,Cc1ccc(SCCNC(=O)N[C@@H]2CC[C@H]([NH+](C)C)C2)cc1 | COc1ccc(O[C@H](C)CNC(=O)c2cc(F)c(F)cc2Cl)cc1 | COc1ccc(S(N)(=O)=O)cc1NC(=O)c1cc2c(s1)CCC2 | CCc1ccc(OC[C@@H](O)CN2CCNC(=O)C2)cc1 | Cc1ccc(O[C@@H](C)CNC(=O)c2c(F)cccc2Cl)cc1
263,1772,nitrile,0.95,22.74904214559387,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",5,N#C[C@@H](C(=O)Cc1csc(-c2cnccn2)n1)c1ccc(F)cn1 | N#C[C@@H](c1ccccc1)[C@H]1CCCN1Cc1cc(=O)c([O-])co1 | C#C[C@H]1CN2CC[C@@H]1C[C@@H]2CNC(=O)c1ccc(-c2ccccc2)cc1 | N#C[C@H](OC(=O)c1csc(-c2ccc(Cl)cc2Cl)n1)C1CC1 | N#C[C@@H](C(=O)c1cccc(NC(=O)[C@H]2CCCO2)c1)c1ccc(F)cn1
1261,5724,ring_N,1.0,1.267941370391033,"[#6]-,:[#6]-,:[#7](:,-[#6]):,-[#6]",5,CCC(=O)Cn1c(SCCOc2ccccc2Cl)nc2ccccc21 | COCCCNC(=O)Cn1c(CNC(=O)c2ccco2)[nH+]c2ccccc21 | NC(=O)Cn1c(-c2nonc2N)nc2ccccc21 | CCNC(=O)Cn1c(N)[nH+]c2c(C)nn(C)c21 | CCOC(=O)Cn1c2ccccc2c(=O)c2cc(F)ccc21
1238,4758,benzene,1.0,1.3610997686130393,"[#6](-,:[#6]:[#6]:,-[#6]:,-[#6]:,-[#6]):,-[#7]:,-[#6]",8,COc1ccc(-c2nnc(SCC(=O)N3C[C@@H](C)C[C@H](C)C3)n2CCc2ccccc2)cc1 | COc1ccc(-c2cc(NC(=O)COc3ccc(F)cc3)n(-c3ccccn3)n2)cc1OC | Cc1ccc(-c2csc(NC(=O)[C@@H](C)n3c(=O)cc(C)c4cc(C)cc(C)c43)c2C(N)=O)cc1 | COc1ccc(-c2nc(CN3C[C@H](O)[C@@H](N(C)C)C3)c(C)o2)c2ccccc12 | COc1ccc(-c2csc(NC(=O)Cc3nc4nc(C)cc(C)n4n3)n2)cc1F
