feature_id,activation,molecule_idx,smiles,token_position,token_str
1270,23.391582489013672,43019,C[C@H]([NH2+]Cc1cc[nH]c1)c1ccc(C#N)cc1,4,@
1270,23.208574295043945,3644,C[C@H]([NH2+]C[C@H](O)CN1CCN(C)CC1)[C@H](C)n1cccn1,4,@
1270,23.15899085998535,36196,N[C@H](CC1CCCC1)[C@@H]1C[NH+]2CCN1CC2,4,@
1270,23.141695022583008,25777,CC[C@H]([NH3+])Cc1ccnc([C@H]2CN(CC)CCO2)n1,4,@
1270,23.135498046875,45236,C[C@H]([NH2+]CC1([C@H](O)c2ccccc2)CC1)c1nc2ccccc2s1,4,@
1270,23.0588436126709,21540,C[C@H](NCc1cccc(C#N)c1)c1ccc(N2CCOCC2)cc1,4,@
1270,23.041046142578125,31935,C[C@H]([NH2+][C@H](C)[C@@H](C)O)C(N)=O,4,@
1270,23.019508361816406,40543,C[C@H]([NH2+]Cc1ccccc1C[NH+]1CCCCCC1)c1[nH+]c2ccccc2n1C,4,@
1270,23.01443862915039,34349,CCC[C@H](/[NH+]=C(\O)c1ccnc(Cl)c1)c1ccccc1,4,@
1270,22.95380210876465,9661,C[C@H]([NH2+][C@@H](C)[C@H](O)Cc1ccccc1)c1ccc[nH+]c1,4,@
1940,22.08799171447754,42264,CO[C@@H]1CCCN(C(=O)Nc2nnc(C)s2)C1,20,s
1940,22.074329376220703,2376,CC[C@](C)([C@H]([NH3+])Cc1ccc(Cl)s1)N1CCCCC1,20,s
1940,22.044649124145508,6271,CO[C@@H]1CCCN(C(=O)Nc2ccc(C)s2)C1,20,s
1940,21.825870513916016,4352,C[NH+](C)[C@H](CNCc1cnc(-c2ccccc2)s1)c1cccs1,20,s
1940,21.66426658630371,20638,CC1(CNC(=O)CNS(=O)(=O)c2ccc(Cl)s2)CCCC1,20,s
1940,21.648197174072266,46887,C[NH+](C)[C@@H](CNCc1cnc(-c2cccnc2)s1)c1cccc(F)c1,20,s
1940,21.634519577026367,36840,CC[C@@H]1CO[C@H](c2ccc(C)s2)CN1,20,s
1940,21.61648941040039,6425,O=C(NC1CC1)c1cccnc1Oc1ccc(NS(=O)(=O)c2ccc(Cl)s2)cc1,30,s
1940,21.586793899536133,33956,CCN(CCNCc1ncc(-c2ccccc2)s1)C1CC1,12,s
1940,21.48847007751465,41491,CC(C)(CNC(=O)c1cc2c(nc3sccn32)s1)N1CCOCC1,20,s
1922,20.39916229248047,36273,Cc1ccc(CNCc2ccc([O-])c[nH+]2)o1,17,o
1922,20.27022361755371,2726,CCc1ccc([C@H](O)Cc2nccn2CC)o1,17,o
1922,20.213685989379883,5012,CC[C@@H](NC)c1nnc(C[C@H](C)COC)o1,23,o
1922,20.118724822998047,24238,CC(C)n1nccc1-c1nnc(NC(=O)c2ccc3c(c2)OCCO3)o1,30,o
1922,20.070858001708984,15880,O=C([O-])c1ccc(CNC(=O)[C@H]2CCCOC2)o1,23,o
1922,20.067102432250977,6857,O=C1CCCN1Cc1nnc(S[C@@H]2CCCc3ccccc32)o1,23,o
1922,20.065929412841797,30508,Cc1ccc([C@@H](O)CNC(=O)C2(c3ccc(F)cc3)CC2)o1,30,o
1922,20.03021812438965,10768,CCc1ccc(-c2[nH]c3cc(N)ccc3[nH+]2)o1,23,o
1922,20.007095336914062,31759,Cc1ccc([C@@H](CNC(=O)CCCOc2cccnc2)N2CCOCC2)o1,23,o
1922,19.986404418945312,33365,CC[C@H]([NH3+])c1nnc(-c2cccnc2C)o1,20,o
1505,20.080148696899414,30927,CCC[NH2+]Cc1cnn([C@H](C)CC)c1C(F)(F)F,8,cnn
1505,20.03643798828125,31895,CC[NH2+]Cc1cnn([C@@H](C)CC)c1C(F)F,8,cnn
1505,20.020387649536133,48907,CCC[NH2+]Cc1cnn(-c2ccc(F)cc2C)c1CC,8,cnn
1505,19.72735023498535,28019,C[C@@H](NC(=O)N1CCCC[C@@H]([NH+]2CCCC2)C1)c1cnn(C)c1,30,cnn
1505,19.70224380493164,29173,C[NH2+]Cc1cnn(-c2cccc(C)c2)c1C(F)(F)F,8,cnn
1505,19.669864654541016,39601,C[C@H](NC(=O)N(C1CC1)[C@@H]1CCCc2ccccc21)c1cnn(C)c1,30,cnn
1505,19.619600296020508,10743,CC[NH2+]Cc1cnn(-c2c(C)cc(C)cc2C)c1C(C)C,8,cnn
1505,19.529937744140625,41608,C[C@@H](NC(=O)NC[C@H]1C[C@@]12CCCc1ccccc12)c1cnn(C)c1,30,cnn
1505,19.49709129333496,37864,C=CCOCCCC(=O)Nc1cnn(-c2ccccc2)c1,9,cnn
1505,19.467004776000977,40020,COCCN(C)CC(=O)N(C)Cc1cnn(C)c1,15,cnn
333,20.050174713134766,38709,COC(=O)c1c(F)cccc1NC(=O)CCc1cnn(C)c1C,17,CCc
333,18.98482322692871,2499,COC(=O)[C@H](C)NC(=O)N1CCc2cn(C)c3cccc(c23)C1,17,CCc
333,18.94449806213379,28743,N#CCOc1cc(F)ccc1NC(=O)N1CCc2c([nH]c3ccccc23)C1,17,CCc
333,18.940994262695312,4451,Cc1nc[nH]c1-c1[nH+]ccn1CCc1scnc1C,17,CCc
333,18.857114791870117,36149,CC(C)[C@H](C(=O)NCc1nccn1CCc1ccccc1)N(C)C,17,CCc
333,18.75575065612793,2033,Cc1ccccc1[C@@H]1CN(C(=O)CCc2c(C)[nH+]n(C)c2C)C[C@H]1C(=O)[O-],17,CCc
