feature_id,n_active,best_concept,best_precision,best_lift,mcs_smarts,mcs_size,top_smiles
302,50000,chiral_center,1.0,1.0029084344599337,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",5,CC1(C)CCC(C#N)([C@]2(O)CCC[NH2+]C2)CC1 | Cc1c(C[NH2+]C[C@@]2(O)CCC[C@@H](C)C2)cnn1C | Cc1ccccc1[C@@H](C)CC(=O)Nc1ccc(-n2ncn(C)c2=O)cc1 | CC(=O)N1CCC(CCC(=O)N[C@]2(C#N)CCC[C@H](C)C2)CC1 | CC(C)C[C@@H]1CCCN1C(=O)Nc1ccc(-n2ncn(C)c2=O)cc1
609,50000,ring_N,0.95,1.2045443018714814,"[#6]-,:[#6]:,-[#6]-,:[#6]-,:[#7]-,:[#6]",6,COc1ccc(-n2cc(C(=O)NCCN3CCN(c4cccc(Cl)c4)CC3)c3ccccc3c2=O)cc1 | COc1ccc2cc(C(=O)NCc3cccc(N4CCOC4=O)c3)[nH]c2c1 | Cc1ccc2cc(C(=O)NCc3nccn3CCc3ccccc3)[nH]c2c1 | Cc1nn2cc(-c3ccc(-c4ccccc4)cc3)[nH+]c2s1 | COc1ccc2cc(C(=O)N[C@@H](c3cccs3)C(C)C)[nH]c2c1
760,49975,ring_N,1.0,1.267941370391033,"[#6]-,:[#6]-,:[#6]:,-[#6]:,-[#7]:,-[#6]",6,COc1ccccc1OCCn1c([C@H](C)NC(C)=O)[nH+]c2ccccc21 | Cc1ccccc1OCCCCn1c([C@@H](C)NC(=O)c2ccccc2Cl)[nH+]c2ccccc21 | CC(C)c1c(N)nc([C@H]2CN3CCC[C@@H]3CO2)[nH]c1=O | Cc1ccc(C)c2c(C)c(C(=O)N3CCC[C@@H](c4nccn4C(C)C)C3)[nH]c12 | Cc1nc(N)c2c(C)c(C)n([C@@H]3CCCC3(C)C)c2[nH+]1
61,50000,carbonyl_any,1.0,1.4566642388929352,"[#6](:,-[#7]:,-[#6]:,-[#6]):,-[#6]",5,Cc1ccccc1C(=O)NCC(C)(C)N1CCOCC1 | Cc1ncccc1C(=O)N(CCO)C1CCCCC1 | CCc1ccsc1C(=O)N1CCC([NH+]2CCC[C@@H]2C(N)=O)CC1 | CSc1ccccc1C(=O)N(C)C[C@@H]1CCN(c2ccccc2)C1 | CCOc1ccccc1CCC(=O)NCC(C)(C)C(N)=O
22,50000,aniline,0.7,1.903932981559049,"[#6](:,-[#6]:,-[#6]):,-[#7]:,-[#6]:,-[#7]",6,CN(C)c1cc(C(=O)NCC2(NC(=O)OC(C)(C)C)CCCCCC2)cc[nH+]1 | CN(C)c1cc(CNS(=O)(=O)c2ccc(CC#N)cc2)cc[nH+]1 | CN(C)c1cc(NC[C@@H]2CCC(=O)N2)nc[nH+]1 | CN(C)c1cc(CNC(=O)NCCCC(C)(C)CO)cc[nH+]1 | CCN(CC)c1cc(CCC(=O)NCc2ccc(OC)cc2OC)cc[nH+]1
699,50000,carbonyl_any,0.9,1.3109978150036417,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",5,CCn1nccc1/C(C)=C/CC[NH2+]CCOC | CC1(C)[C@@]2(C)CC[C@]1(C(=O)N1CCC(C(=O)[O-])CC1)OC2=O | CCC[C@H](C#N)C(=O)NC12CC3C[C@@](C)(C1)C[C@](C)(C3)C2 | Cc1ccc2ncc(C(=O)N[C@@H](C(N)=O)c3ccccc3)n2c1 | CC(C)c1nnc2n1C[C@H](C[NH2+][C@H]1C[C@H](C)OC1=O)CC2
745,49999,halogen_any,0.7,2.121855107608366,"[#6]-,:[#6]:,-[#6]:,-[#6]",4,OC(C[NH2+]Cc1ccccc1Cl)(c1ccccc1)c1ccccc1 | CN(C(=O)c1ccc2c(c1)[C@H]1C=CC[C@H]1[C@H](c1cccc(Cl)c1Cl)N2)c1ccccc1 | CCN(C(=O)[C@H](C)Oc1ccc(Cl)cc1Cl)C1CCCCC1 | CN(CC[NH2+]Cc1cc(F)cc(Br)c1)C1CC1 | CCN(C(=O)C[NH+](C)[C@H](C)Cc1cccs1)c1ccccc1
682,50000,aliphatic_ring,0.85,1.3378663392829035,"[#6](:,-[#6]:,-[#6]):,-[#6]:,-[#6]",5,COCCn1c(C[NH+]2CCCC[C@H]2CO)cnc1S(=O)(=O)CCC(C)C | CCc1nnc2n1CCN(C(=O)Cn1cnc3ccccc3c1=O)C2 | Cc1c(C(=O)OC[C@H]2CCCO2)csc1S(N)(=O)=O | CCCCn1c(C[NH+](C)Cc2ccno2)cnc1S(=O)(=O)CCCC(C)C | Cn1ncc2c1CCC[C@@H]2NC(=O)NCCc1nc2ccccc2s1
9,50000,ring_N,1.0,1.267941370391033,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",6,C[C@@H](C(=O)N1CCC(Nc2ccc[nH+]n2)CC1)n1ccnc1 | C[C@@H]1CC(C(=O)Nc2cc[nH+]cc2[O-])C[C@H](C)O1 | CC[C@@H](C)[C@@H]1C[NH+](Cc2ccc(C)[nH+]c2)CCN1C(=O)[C@@H]1CCO[C@@H]1C | CC(C)(C)NC(=O)CSc1nnc(-c2ccc(F)cc2)n1C[C@H]1CCCO1 | CC(C)C(=O)N1CCC(Cn2cc[nH+]c2C(C)C)CC1
468,50000,cyclohexane,0.8,13.793103448275863,"[#6](-,:[#6]-,:[#6]-,:[#6])-,:[#6]-,:[#6]",6,CCN(C(=O)c1ccc(C)[nH+]c1C)[C@@H]1CCCC[C@H]1C | O=S(=O)(Cc1ccccc1)N[C@H]1CCCC[C@H]1OC1CCCC1 | CCN(C(=O)c1scnc1C1CC1)[C@H]1CCCC[C@@H]1C | CCSc1nnc(-c2ccc(OC)cc2)n1[C@@H]1CCCC[C@@H]1C | CC[C@@H](CCO)CNC[C@@H](O)CO[C@H]1CCCC[C@@H]1CC
