feature_id,n_active,best_concept,best_precision,best_lift,mcs_smarts,mcs_size,top_smiles
2696,13648,carbonyl_any,1.0,1.4566642388929352,"[#6]-,:[#6]-,:[#6]-,:[#6]",4,COC(=O)C[C@H](NCCN1CCOCC1)C(=O)[O-] | C[C@@H](c1ccc(S(=O)(=O)N(C)C)cc1)[C@](C)(O)C(=O)[O-] | CC(C)(COc1ccccc1C(N)=O)C(=O)[O-] | N[C@@H](Cc1ccc(O)cc1)C(=O)NCCOCC(=O)[O-] | Cc1ccccc1[C@H](C[C@@H]1CCCO1)C(=O)[O-]
658,9813,pyridine,1.0,5.947424765076722,"[#6]-,:[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1",7,CNC(=O)[C@]1(CCCc2ccc[nH+]c2)CCC[NH2+]1 | CCc1ccc(C[C@@H](O)Cc2ccc[nH+]c2)nc1 | COc1ccc(C(=O)N(C)[C@H](C)c2ccc[nH+]c2)nn1 | COc1cc(CNC(=O)N(Cc2ccc[nH+]c2)C[C@@H]2CCCO2)ccn1 | CCNS(=O)(=O)c1cccc(C(=O)NCCc2ccc[nH+]c2)c1
561,16564,ring_O,0.85,3.344876436329293,"[#6]-[#6]:,-[#7]:,-[#6]-,:[#6]-,:[#6]-,:[#6]",7,CC(C)Cc1noc([C@@H]2CCC[NH+](Cc3cnc(N)nc3)C2)n1 | CC(C)Cc1noc(C[NH+](C)[C@@H](C)c2ccccc2Cl)n1 | CC(C)Cc1noc(C[NH+]2CCCN(C(=O)c3ccccc3Cl)CC2)n1 | CC(C)(C)c1noc(CN2CCC(C(=O)NCC(F)(F)F)CC2)n1 | CN(C)Cc1noc([C@H]2CC[C@H]3CCCC[C@@H]3[NH2+]2)n1
58,13892,amide,1.0,1.6443041304919757,[#6]-[#6](-[#6])-[#7](-[#6]-[#6])-[#6],7,CC[C@H]1COCCN1C(=O)c1cc(F)ccc1Br | CC[C@@H]1CCCCN1C(=O)Cc1ccccc1C | NC(=O)NC[C@H]1CCCCN1Cc1cc[nH]c1 | CCOC(=O)[C@H]1CCCCN1C(=O)NCc1ccccc1 | C[C@H]1CCCCN1C(=O)c1cc(Cl)cc(Cl)c1
3006,6907,pyridine,0.8,4.757939812061378,"[#6]-,:[#6](:[#6]:[#6]:,-[#6]):[#6]",6,Cc1cc(F)cc2c(NCC3(CO)CC3)c(C#N)cnc12 | Cc1n[nH]c2ncc(C[NH2+][C@H](C)c3ccc4c(c3)OCCCO4)cc12 | Cc1n[nH]c2ncc(C(=O)N3CCn4c(nnc4-c4ccccc4)C3)cc12 | Cc1cc(F)cc2c(N3CCC[C@@H](c4ncc[nH]4)C3)c(C#N)cnc12 | Cc1n[nH]c2ncc(C(=O)NCc3ccnc(OCc4ccccc4)c3)cc12
834,9216,ring_S,0.85,5.179137216670729,[#6]-[#7]=[#6]-[#8],4,COC(=O)c1cnc(/N=C(\[O-])[C@@H]2CC(=O)N(c3cccc(OC)c3)C2)s1 | CCOC(=O)c1sc(/N=C(\[O-])[C@H](C)Sc2nc(OC)cc(=O)[nH]2)nc1C | CC(=O)c1cccc(/N=C(\[O-])[C@H](C)N2CCCN(C(C)=O)CC2)c1 | CC(=O)c1csc(/N=C(\[O-])[C@@H](C)Oc2cccc(C)c2C)n1 | CCOC(=O)c1c(/N=C(\[O-])[C@@]2(C)Oc3ccccc3NC2=O)sc2c1CCCC2
1283,9366,amide,0.95,1.5620889239673768,"[#6](:,-[#6]:,-[#6]):,-[#6]",4,Cc1cccc(NC(=O)c2sc3ccc(F)cc3c2C)c1C(N)=O | Cc1ccnn1[C@H](C)C(=O)Nc1cn(C)nc1C(N)=O | C[C@@H](Sc1ccccc1)C(=O)OCCCC(N)=O | Cc1ccc(NC(=O)[C@H](c2c(F)cccc2F)[NH+](C)C)cc1C(N)=O | Cc1oc(C(=O)N[C@@H]2CCCC[C@@H]2C)cc1S(N)(=O)=O
1207,7496,benzene,1.0,1.3610997686130393,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,7,CC(C)(C)c1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc(C#N)cc3)CC2)cc1 | CC(C)(C)c1ccc(C(=O)Nc2nc3n(n2)[C@H](c2ccccc2)CC(=O)N3)cc1 | CC(C)(C)c1ccc(S(=O)(=O)N2CCC(C(=O)Nc3cccc(Cl)c3F)CC2)cc1 | CC(C)(C)c1ccc2c(c1)[C@H](O)[C@H]([NH3+])CCO2 | CC(C)(C)c1ccccc1[C@H](N)C[NH3+]
2907,13598,aromatic_ring_any,1.0,1.0762872395384881,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",5,CC(C)c1ccc([C@@H](O)Cc2nccn2C)cc1 | CCOC[C@@H]1CCC[NH+](Cc2ccnn2C)C1 | Cc1nc(COc2ccc(C[NH+](C)Cc3ccoc3C)cc2)no1 | CCCCNC(=O)c1ccc(C[NH2+][C@@H](C)c2occc2C)cc1 | Cc1ccc([C@H](N)CC[NH+](C)Cc2scnc2C)cc1F
1684,4957,sulfonyl,1.0,10.486577181208053,"[#16](=[#8])(=[#8])-[#6]:[#6]:[#6]:[#6]:,-[#6]",8,CS(=O)(=O)c1cccc(OC(=O)c2cn(-c3ccccc3Cl)nn2)c1 | NS(=O)(=O)c1cccc(NC(=O)CN2CCCc3cccc(F)c32)c1 | NS(=O)(=O)c1ccc(NC(=O)C23CCC(CC2)C3)cc1 | NS(=O)(=O)c1ccc(NC(=O)N2CCCC2)c(Br)c1 | NS(=O)(=O)c1ccc(NC(=O)CN2CCN(CCO)CC2)cc1
2891,9787,ring_N,1.0,1.267941370391033,"[#6]-,:[#7]:[#6]:,-[#6]",4,CCc1noc([C@@H](C)[NH2+][C@@H]2CCCn3nc(CC)nc32)n1 | Cn1ccc(C(=O)Nc2nc(C(C)(C)C)cs2)n1 | COCCn1ccc(NC(=O)N[C@@H](C)c2ccc(-n3ccnc3C)cc2)n1 | Cc1csc(CN(C)C(=O)[C@H](CC(C)C)N2CCCCC2=O)n1 | Cc1csc(CN(C)C(=O)NC[C@@H](C)Oc2cccc(F)c2)n1
2993,6837,aniline,0.75,2.039928194527553,[#6]-[#6]1-[#6]-[#6]-[#6]-[#7](-[#6]-1)-[#6],8,CCOc1ccccc1CNC(=O)[C@@H]1CCCN(c2nc3ccccc3n(CC)c2=O)C1 | CS(=O)(=O)NC[C@H]1CCCN(c2ncc(Cl)cc2F)C1 | O=C(Nc1nc2ccccc2s1)[C@H]1CCCN(c2ccc(-n3cc[nH+]c3)nn2)C1 | CN(C)C(=O)[C@@H]1CCCN(c2nc3c(F)cccc3s2)C1 | O=C(Nc1ccccn1)[C@@H]1CCCN(c2ccc(-c3ccc(Cl)cc3)nn2)C1
1156,22198,sulfonyl,1.0,10.486577181208053,"[#16](=[#8])(=[#8])-[#6]:,-[#6]",5,Cn1ncc(C#N)c1[N-]S(=O)(=O)c1ccc(F)c(C#N)c1 | CCc1nn(C)cc1[N-]S(=O)(=O)c1[nH+]cn(C)c1Cl | CC(C)(C#N)CCCS(=O)(=O)c1nc(-c2ccccc2)cs1 | CCc1ccccc1[N-]S(=O)(=O)c1cccc2nonc12 | CCCCN(CC)C(=O)NCCNS(=O)(=O)c1cccc(Cl)c1
2547,15888,ring_S,0.7,4.265171825493542,"[#6]-,:[#6]-,:[#6]-,:[#6]",4,O=C(N[C@H]1CC[C@H](Nc2nccc(-c3cc[nH+]cc3)n2)C1)c1ccon1 | [O-]/C(CCOc1ccc(Cl)c(Cl)c1)=N\c1nncs1 | O=C(NC[C@H](c1ccc2c(c1)OCO2)[NH+]1CCN(c2ccccc2F)CC1)c1ccno1 | Cc1cc2oc3c(c(=O)c2cc1C)[C@@H](c1cccc(Oc2ccccc2)c1)N(c1nncs1)C3=O | Cc1nc([C@H]2CCCN2C(=O)c2csnn2)nc2c1CCC(=O)N2CC1CCCCC1
1525,11500,aliphatic_ring,1.0,1.573960399156357,"[#6](-,:[#6])-,:[#6]1:,-[#6]:,-[#6]:,-[#6]:,-[#6]:,-[#6]:,-1",8,O=C1CC[C@@H]([NH2+][C@H]2CCCSc3ccccc32)CN1 | NC(=O)c1ccc(OCC(=O)N[C@H]2CCCOc3ccccc32)cc1 | Cc1ccc([C@@H](O)[C@@]2(C#N)CCOc3ccccc32)cc1 | CS(=O)(=O)N1CC[C@H](C[NH2+][C@@H]2CCCSc3ccccc32)C1 | COc1ccc(CN(C)C(=O)N[C@H]2CCCOc3ccccc32)cc1F
2318,11260,aromatic_ring_any,1.0,1.0762872395384881,"[#6]-,:[#6]-,:[#6]",3,CC(C)(C)O/C([O-])=N/c1ncc(C(=O)[O-])o1 | Cc1cnc(/C([O-])=N/c2nccs2)cn1 | COCCCOCC[NH+](C)C/C([O-])=N/c1ccc(C)cc1Br | CCc1ccc(O[C@H](C)/C([O-])=N/c2nc3ccc(F)cc3s2)cc1 | CC(C)(C)c1ccccc1OC/C([O-])=N/c1nc2ccccc2s1
1219,9142,carbonyl_any,1.0,1.4566642388929352,"[#6]:,-[#6]:,-[#6]:,-[#6]-,:[#6]",5,CCCn1nccc1C(=O)N1CCC(C(=O)[O-])(n2cc(C)cn2)CC1 | CNC(=O)CC[NH+]1CCC(CC(=O)[O-])CC1 | COCCOc1ccccc1C[NH+]1CCC(C(=O)[O-])CC1 | O=C([O-])C1CC2CC(C1)CC(C(=O)[O-])C2 | Cc1cc(C[NH+](C)c2cc(C)c(N)c(C(=O)[O-])c2)no1
239,7921,aliphatic_ring,0.95,1.4952623791985393,"[#6]-[#7]-[#6]-[#6]-,:[#6]",5,CN1C[C@@H](C(=O)[O-])Cc2ccccc21 | C[C@H]1[C@H](C(=O)[O-])CC[NH+]1Cc1ccccc1F | CCN1CCO[C@@H](C[NH+](CCC(=O)[O-])C(C)(C)C)C1 | CC1CC[NH+](CC[C@@H](CCC(=O)[O-])C(C)(C)C)CC1 | C[C@H]1[C@@H](C(=O)[O-])CC[NH+]1Cc1ccc(F)cc1Cl
2477,11260,ring_N,1.0,1.267941370391033,"[#6]-,:[#6]:,-[#7]:,-[#6]-,:[#6]-,:[#6]",6,COC(=O)c1cccc(N2CCC(c3c[nH]c4ncccc34)CC2)n1 | N#Cc1cccc(NC(=O)c2ccc(-n3c[nH+]c4ccccc43)cc2)c1 | COc1ccc(S(=O)(=O)N2CCC[C@H](c3nc(C)nc4ncccc34)C2)cc1 | CCOC(=O)N1CCN(C(=O)c2ccc(-n3c[nH+]c4ccccc43)cc2)CC1 | Cc1nc2ccc(NS(=O)(=O)c3ccc(F)c4ncccc34)cc2o1
1864,4701,nitrile,1.0,23.946360153256705,"[#6]-,:[#6]:,-[#6]:,-[#6]:,-[#6]-,:[#6]",6,CCc1cccc(C)c1NC(=O)c1cc(C#N)cs1 | C[C@H](CCCO)NC(=O)NCCOc1ccc(C#N)cc1 | CC1CCC(CN(C)C(=O)c2cc(C#N)cs2)CC1 | CN(C)C(=O)c1ccc(C#N)cn1 | Cc1ccc([C@@H](NC(=O)c2cc(C#N)cs2)C2CC2)cc1
2619,11142,sulfonyl,1.0,10.486577181208053,"[#6]-,:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1",7,COC(=O)Cc1ccc(OS(=O)(=O)c2cc(Cl)ccc2Cl)cc1 | COC(=O)c1cccc(CCNS(=O)(=O)c2c(F)cc(C#N)cc2F)c1 | COc1cc(C(=O)[O-])ccc1OS(=O)(=O)c1ccc(NC(C)=O)cc1 | Cc1cc(C)n(-c2ccc(NCCNS(=O)(=O)c3cc(C)c(C)cc3C)nn2)n1 | COc1cc(C(C)=O)ccc1OS(=O)(=O)c1ccc(F)c(Cl)c1
827,9438,aliphatic_ring,0.85,1.3378663392829035,[#6]-[#6]-[#7]-[#6]-[#6],5,COCCNCC[NH2+]CC[C@H]1CCCO1 | Cc1ccc(C[NH2+]CC(=O)Nc2ccccn2)cc1 | C#CC[NH2+]CC(=O)N[C@@H]1CCCC[C@H]1CC | C#CC[NH2+]CC(=O)OC1CCOCC1 | C#CC[NH2+]CC(=O)N1CCC[C@@H]1c1cccnc1
