feature_id,activation,molecule_idx,smiles,token_position,token_str
2696,20.159709930419922,33100,COC(=O)C[C@H](NCCN1CCOCC1)C(=O)[O-],21,-]
2696,20.078195571899414,16289,C[C@@H](c1ccc(S(=O)(=O)N(C)C)cc1)[C@](C)(O)C(=O)[O-],37,-]
2696,20.07586669921875,43114,CC(C)(COc1ccccc1C(N)=O)C(=O)[O-],20,-]
2696,20.075225830078125,43988,N[C@@H](Cc1ccc(O)cc1)C(=O)NCCOCC(=O)[O-],25,-]
2696,20.047636032104492,15979,Cc1ccccc1[C@H](C[C@@H]1CCCO1)C(=O)[O-],25,-]
2696,20.022539138793945,24516,CC[C@](C)([NH2+]Cc1cc(Br)ccc1OC)C(=O)[O-],25,-]
2696,19.945770263671875,49182,CCS(=O)(=O)[N-]c1ccccc1C(=O)[O-],18,-]
2696,19.86591911315918,40207,C[C@H](Sc1nnnn1-c1ccc(Br)cc1)C(=O)[O-],26,-]
2696,19.83085823059082,18599,C[C@](CC(=O)c1ccccc1)(c1ccccc1)S(=O)(=O)[O-],26,-]
2696,19.825668334960938,48120,CC(C)C[C@@H](CCC(F)(F)F)C(=O)[O-],24,-]
658,19.679973602294922,26113,CNC(=O)[C@]1(CCCc2ccc[nH+]c2)CCC[NH2+]1,14,+]
658,19.621341705322266,23003,CCc1ccc(C[C@@H](O)Cc2ccc[nH+]c2)nc1,18,+]
658,19.039941787719727,32115,COc1ccc(C(=O)N(C)[C@H](C)c2ccc[nH+]c2)nn1,24,+]
658,18.94824981689453,42969,COc1cc(CNC(=O)N(Cc2ccc[nH+]c2)C[C@@H]2CCCO2)ccn1,16,+]
658,18.82445526123047,9335,CCNS(=O)(=O)c1cccc(C(=O)NCCc2ccc[nH+]c2)c1,20,+]
658,18.662342071533203,35404,Cc1ccccc1CC(=O)NCc1cc([O-])n2nc(-c3ccc[nH+]c3)cc2n1,24,+]
658,18.630311965942383,20091,COC(=O)c1cc(CNC(=O)NCc2ccc[nH+]c2)ccc1OC,18,+]
658,18.58452033996582,39914,O=C(Cc1ccc(Br)cc1)Nc1nc(-c2ccc[nH+]c2)cs1,23,+]
658,18.515771865844727,12486,CCOc1ncccc1CNC(=O)[C@H](c1ccc[nH+]c1)[NH+]1CCCC1,18,+]
658,18.46082305908203,24069,O=C(Nc1cccnc1-n1cncn1)c1cn(Cc2ccc[nH+]c2)nn1,24,+]
561,19.626087188720703,35930,CC(C)Cc1noc([C@@H]2CCC[NH+](Cc3cnc(N)nc3)C2)n1,7,noc
561,19.597797393798828,3873,CC(C)Cc1noc(C[NH+](C)[C@@H](C)c2ccccc2Cl)n1,7,noc
561,19.526611328125,49838,CC(C)Cc1noc(C[NH+]2CCCN(C(=O)c3ccccc3Cl)CC2)n1,7,noc
561,19.30651092529297,47861,CC(C)(C)c1noc(CN2CCC(C(=O)NCC(F)(F)F)CC2)n1,9,noc
561,19.300199508666992,28951,CN(C)Cc1noc([C@H]2CC[C@H]3CCCC[C@@H]3[NH2+]2)n1,7,noc
561,19.113161087036133,14128,CC(C)Cc1noc(C[NH2+][C@@H](c2ccc[nH+]c2)C2CCCCC2)n1,7,noc
561,19.049720764160156,31434,CC(C)Cc1noc([C@@H]2CCCN(C(=O)c3cc4n(n3)CCC[NH+](C)C4)C2)n1,7,noc
561,19.018239974975586,13733,Cc1ccccc1Cc1noc(C[NH+]2CC[C@@H](Cc3cnn(C)c3)C2)n1,7,noc
561,18.96322250366211,44790,CCO[C@H](C)c1noc(C[NH+]2CCN(Cc3ccc(Cl)nc3)CC2)n1,11,noc
561,18.87342643737793,45466,CO[C@H](C)c1noc(C[NH+]2CCCN(C(=O)[C@@H]3CCO[C@@H]3C)CC2)n1,11,noc
58,19.416301727294922,42905,CC[C@H]1COCCN1C(=O)c1cc(F)ccc1Br,8,COCCN
58,19.393632888793945,23966,CC[C@@H]1CCCCN1C(=O)Cc1ccccc1C,8,CCCCN
58,19.372093200683594,20206,NC(=O)NC[C@H]1CCCCN1Cc1cc[nH]c1,12,CCCCN
58,19.298864364624023,36022,CCOC(=O)[C@H]1CCCCN1C(=O)NCc1ccccc1,10,CCCCN
58,18.998985290527344,41824,C[C@H]1CCCCN1C(=O)c1cc(Cl)cc(Cl)c1,8,CCCCN
58,18.9561767578125,29382,C[C@@H]1CCCCN1C(=O)CSc1ccnc(C(=O)[O-])c1,8,CCCCN
58,18.94462013244629,13638,CC[C@H]1CCCCN1C(=O)[C@H](C)N1CCN(CC(C)C)CC1,8,CCCCN
58,18.942419052124023,23984,C[C@@H]1CCCCN1C(=O)c1ccc(OCc2ccccc2C#N)cc1,8,CCCCN
58,18.927427291870117,10675,COC(=O)[C@H]1CCCCN1C(=O)c1ccc(Br)s1,10,CCCCN
58,18.86522102355957,322,C[C@H]1CCOCCN1C(=O)NCC1(c2ccc(F)cc2)CC1,8,CCOCCN
3006,19.28489112854004,2185,Cc1cc(F)cc2c(NCC3(CO)CC3)c(C#N)cnc12,26,12
3006,18.81185531616211,46856,Cc1n[nH]c2ncc(C[NH2+][C@H](C)c3ccc4c(c3)OCCCO4)cc12,35,12
3006,18.665830612182617,22472,Cc1n[nH]c2ncc(C(=O)N3CCn4c(nnc4-c4ccccc4)C3)cc12,33,12
3006,18.47671127319336,22884,Cc1cc(F)cc2c(N3CCC[C@@H](c4ncc[nH]4)C3)c(C#N)cnc12,37,12
3006,18.39214515686035,21202,Cc1n[nH]c2ncc(C(=O)NCc3ccnc(OCc4ccccc4)c3)cc12,28,12
3006,18.314794540405273,19260,Cc1cccn2c(CN(C)C[C@H]3CCCCO3)c(C(=O)N3CCOCC3)nc12,33,12
3006,18.278636932373047,41497,Cc1c(O)ccc2c(CNc3ccc(CC#N)cc3)cc(=O)oc12,27,12
3006,18.127859115600586,3162,Cc1n[nH]c2ncc(NC(=O)NC(C)(C)CCC(=O)OC(C)(C)C)cc12,34,12
3006,18.031490325927734,11167,CCc1cc(=O)oc2c(C[NH+]3CCCC[C@@H]3CC)c(O)c(Cl)cc12,34,12
3006,17.990230560302734,25494,Cc1n[nH]c2ncc(NC(=O)N(Cc3cccnc3)C[C@H]3CCCO3)cc12,33,12
834,18.616958618164062,11246,COC(=O)c1cnc(/N=C(\[O-])[C@@H]2CC(=O)N(c3cccc(OC)c3)C2)s1,12,(\[
834,18.24919891357422,27644,CCOC(=O)c1sc(/N=C(\[O-])[C@H](C)Sc2nc(OC)cc(=O)[nH]2)nc1C,12,(\[
834,18.24308204650879,34857,CC(=O)c1cccc(/N=C(\[O-])[C@H](C)N2CCCN(C(C)=O)CC2)c1,12,(\[
834,18.235546112060547,44086,CC(=O)c1csc(/N=C(\[O-])[C@@H](C)Oc2cccc(C)c2C)n1,12,(\[
834,18.07174301147461,10554,CCOC(=O)c1c(/N=C(\[O-])[C@@]2(C)Oc3ccccc3NC2=O)sc2c1CCCC2,12,(\[
834,18.03829574584961,25291,CC(C)Cc1nnc(/N=C(\[O-])Cn2nc(-c3ccccc3)ccc2=O)s1,12,(\[
834,17.951583862304688,20455,Cc1nnc(/N=C(\[O-])[C@H]2CCCO2)s1,8,(\[
834,17.7246036529541,29570,CC(C)c1nnc(/N=C(\[O-])CCn2cnc3c(cnn3C)c2=O)s1,12,(\[
834,17.695152282714844,38657,COC(=O)c1ccc(CSc2nnc(/N=C(\[O-])CN(C)S(C)(=O)=O)s2)o1,16,(\[
834,17.68841552734375,14759,Cc1ccc(Cc2nnc(/N=C(\[O-])[C@H]3CCCN3S(=O)(=O)c3ccc(Cl)s3)o2)cc1C,12,(\[
1283,18.455659866333008,2693,Cc1cccc(NC(=O)c2sc3ccc(F)cc3c2C)c1C(N)=O,28,)=
1283,18.32072639465332,21765,Cc1ccnn1[C@H](C)C(=O)Nc1cn(C)nc1C(N)=O,27,)=
1283,18.281118392944336,482,C[C@@H](Sc1ccccc1)C(=O)OCCCC(N)=O,19,)=
1283,18.138229370117188,14311,Cc1ccc(NC(=O)[C@H](c2c(F)cccc2F)[NH+](C)C)cc1C(N)=O,34,)=
1283,18.131732940673828,43733,Cc1oc(C(=O)N[C@@H]2CCCC[C@@H]2C)cc1S(N)(=O)=O,32,)=
1283,18.11750602722168,1162,Cc1cccc(NCc2ncc(-c3ccccc3Cl)o2)c1C(N)=O,23,)=
1283,18.056489944458008,14520,C[C@@H](CNc1ccc(Br)cc1)C(N)=O,19,)=
1283,18.032102584838867,37918,Cc1ccc(C(=O)OCc2cccc(F)c2)cc1S(C)(=O)=O,25,)=
1283,18.028499603271484,22161,C[C@H]1CCCC[C@@H]1OCC(=O)Nc1[nH]ncc1C(N)=O,29,)=
1283,18.024429321289062,32385,CC(C)CC(C)(C)C(=O)NCCS(N)(=O)=O,20,)=
1207,18.015060424804688,6375,CC(C)(C)c1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc(C#N)cc3)CC2)cc1,4,)(
1207,17.654176712036133,49488,CC(C)(C)c1ccc(C(=O)Nc2nc3n(n2)[C@H](c2ccccc2)CC(=O)N3)cc1,4,)(
1207,17.57216453552246,45980,CC(C)(C)c1ccc(S(=O)(=O)N2CCC(C(=O)Nc3cccc(Cl)c3F)CC2)cc1,4,)(
1207,17.51969337463379,31336,CC(C)(C)c1ccc2c(c1)[C@H](O)[C@H]([NH3+])CCO2,4,)(
1207,17.49563217163086,18760,CC(C)(C)c1ccccc1[C@H](N)C[NH3+],4,)(
1207,17.453195571899414,28761,CC(C)(C)c1ccc(CCC(=O)NCCCc2nn(-c3ccccc3)c(N)c2C#N)cc1,4,)(
1207,17.446680068969727,38038,CC(C)(C)c1ccc([N-]S(=O)(=O)c2ccccc2F)cc1,4,)(
1207,17.340682983398438,47587,CC(C)(C)c1ccc([C@@H]2CCCN2C(=O)CCn2ccccc2=O)cc1,4,)(
1207,17.282670974731445,4636,CC(C)(C)c1ccc2c(c1)N(S(=O)(=O)c1ccccc1)C[C@@H](C(=O)NCc1ccc(Cl)cc1)O2,4,)(
1207,17.28218650817871,49842,CC(C)(C)c1ccc2c(=O)[nH]c(=O)[nH]c2c1,4,)(
2907,17.833585739135742,3179,CC(C)c1ccc([C@@H](O)Cc2nccn2C)cc1,17,nccn
2907,17.777780532836914,40607,CCOC[C@@H]1CCC[NH+](Cc2ccnn2C)C1,14,ccnn
2907,17.6859130859375,4323,Cc1nc(COc2ccc(C[NH+](C)Cc3ccoc3C)cc2)no1,17,ccoc
2907,17.560771942138672,17311,CCCCNC(=O)c1ccc(C[NH2+][C@@H](C)c2occc2C)cc1,22,occc
2907,17.540361404418945,22085,Cc1ccc([C@H](N)CC[NH+](C)Cc2scnc2C)cc1F,19,scnc
2907,17.5186710357666,30067,COc1ccc([NH+]2CCCN(C(=O)N[C@@H](C)c3nncn3C)CC2)cc1,24,nncn
2907,17.492008209228516,26380,CCN(CC)C1([C@H](NC)c2sccc2C)CCCC1,16,sccc
2907,17.388019561767578,9346,Cc1ccc(C[C@H]([NH3+])c2cscc2C)cc1,16,cscc
2907,17.38031768798828,7366,CCCCNC(=O)[C@H]1CCC[NH+](Cc2ncoc2C(C)C)C1,16,ncoc
2907,17.316137313842773,21798,C[C@@H](CN1CCOCC1)N1CCC([C@H](O)c2nccn2C)CC1,24,nccn
1684,17.725879669189453,26575,CS(=O)(=O)c1cccc(OC(=O)c2cn(-c3ccccc3Cl)nn2)c1,4,)(=
1684,17.55731964111328,18431,NS(=O)(=O)c1cccc(NC(=O)CN2CCCc3cccc(F)c32)c1,4,)(=
1684,17.49949073791504,7522,NS(=O)(=O)c1ccc(NC(=O)C23CCC(CC2)C3)cc1,4,)(=
1684,17.462284088134766,5994,NS(=O)(=O)c1ccc(NC(=O)N2CCCC2)c(Br)c1,4,)(=
1684,17.45008087158203,25819,NS(=O)(=O)c1ccc(NC(=O)CN2CCN(CCO)CC2)cc1,4,)(=
1684,17.439651489257812,44958,CCS(=O)(=O)c1ccc(NC(=O)NC2CCC(C)CC2)cc1,4,)(=
1684,17.413419723510742,11742,CCS(=O)(=O)c1ccc([O-])c(NC(=O)c2ccco2)c1,4,)(=
1684,17.368772506713867,23132,CCCNS(=O)(=O)c1ccc(OCC(=O)Nc2ccc(OC)cc2)cc1,4,)(=
1684,17.26995086669922,28155,CS(=O)(=O)c1cccc(OC(=O)c2ccccc2)c1,4,)(=
1684,17.266902923583984,10733,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,4,)(=
2891,17.568180084228516,22575,CCc1noc([C@@H](C)[NH2+][C@@H]2CCCn3nc(CC)nc32)n1,28,n
2891,17.364282608032227,29246,Cn1ccc(C(=O)Nc2nc(C(C)(C)C)cs2)n1,24,n
2891,17.014820098876953,28820,COCCn1ccc(NC(=O)N[C@@H](C)c2ccc(-n3ccnc3C)cc2)n1,30,n
