feature_id,n_active,best_concept,best_precision,best_lift,mcs_smarts,mcs_size,top_smiles
2268,49952,aromatic_ring_any,0.95,1.0224728775615637,"[#6](-,:[#6]-,:[#6]:,-[#6])-,:[#6]",5,C[N-]S(=O)(=O)c1ccc(/C([O-])=N/c2nnc(C3CC3)s2)o1 | N#Cc1ccc(NC(=O)Cn2nc([O-])c3ccccc3c2=O)cc1Cl | CC[C@@H](NCC1(c2ccccc2)CC1)C(=O)Nc1cc(C)on1 | C[C@H](OC(=O)c1ccc2c(c1)OCO2)C(=O)Nc1cc(Cl)c(Cl)cc1Cl | Cc1cc(N2CCC(c3cc(N)[nH][nH+]3)CC2)n2nc(C(F)(F)F)nc2n1
205,49960,amide,0.8,1.3154433043935807,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",5,C[C@H](CC(=O)N[C@H](C)CCO)Cc1ccc(Cl)cc1 | CN(C)C(=O)[C@H]1CCCN1Cc1csc(-c2ccccc2)n1 | CCc1nc(C(=O)Nc2ccc(F)c(C(=O)[O-])c2)n[nH]1 | CC[NH+]1CCN(c2ccc(CNS(=O)(=O)Cc3ccon3)c[nH+]2)CC1 | COc1ccc2[nH]c(=O)c([C@H]3c4cc(OC)c(OC)cc4CCN3C(=O)C3CC3)cc2c1
267,49951,amide,0.85,1.3976585109181794,"[#6](:,-[#6]:,-[#6]):,-[#6]:,-[#6]-,:[#7]",6,C/C(=C\C(=O)NCc1coc(-c2ccccc2)n1)C(C)(C)C | CSc1ccc(C[C@@]2(CCC(=O)N[C@@H]3CCCC[C@H]3c3ccccc3)CCC(=O)N2)cc1 | Cc1nnnn1-c1cccc(NC(=O)N[C@@H]2CC[C@@H]([NH+](C)C)C2)c1 | O=C(c1cc(-c2cccnc2)nc2ccccc12)N1CC[C@H](O)C1 | CC[NH2+][C@](CO)(CN1C[C@@H]2CCCC[NH+]2C[C@@H]1C)C1CC1
1553,49925,aromatic_ring_any,0.95,1.0224728775615637,"[#6]-,:[#6](:,-[#6]:,-[#6]):,-[#6]",5,O=C(Nc1ccccc1OCc1ccccc1)[C@@H]1CCC[NH2+]C1 | CSc1nc2nc(C)c(CCC(=O)Nc3nc(C[NH+]4C[C@@H](C)O[C@@H](C)C4)cs3)c(C)n2n1 | Cc1nc2cc(NC(=O)CCc3nc(-c4ccncc4)no3)ccc2o1 | C[C@H](NC(=O)N1CC=C(c2ccccc2Cl)CC1)c1ccncc1 | C[C@@H](N[C@H](CO)c1ccccc1F)c1ccncc1
852,49946,chiral_center,1.0,1.0029084344599337,"[#6]-,:[#6]:,-[#6](-,:[#6]):,-[#6]",5,CCn1cc(CN(C)[C@H]2CCC[NH+](Cc3ccccc3)C2)cn1 | CC(C)OCCN1CCN([C@@H]2C[C@@H](C)CC(C)(C)C2)CC1 | O=c1c(O)c(CCCCCO)oc2ccccc12 | COCCn1ccc(NC(=O)N[C@H]2CCN(Cc3ccccc3)[C@H](C)C2)n1 | Cc1c(C[NH2+][C@@H]2CCC[C@H](O)C2)cnn1C
1880,49943,chiral_center,1.0,1.0029084344599337,"[#6]-,:[#7]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",6,CN(Cc1[nH+]ccn1C(F)F)[C@H](C(=O)N1CCCCC1)c1ccccc1 | Cc1cc(N2CCCC[C@@H]2CCO)cc(C(=O)[O-])c1N | CCSc1cc(C(=O)OCCCc2ccncc2)ccn1 | CCN(CCOC)[C@@H]1CCC[C@]([NH2+]C)(C(=O)[O-])C1 | Cc1ccc(OCc2[nH+]c3ccccc3n2CCc2cnn(C)c2)cc1
1440,49937,aliphatic_ring,0.85,1.3378663392829035,"[#6](-,:[#6]-,:[#6])-,:[#6]-,:[#6]",5,Cn1ccc2ccc(C(=O)N3CCN(C(=O)N4CCOCC4)CC3)cc21 | CCN(C[C@H]1CCCO1)C(=O)Nc1cnn(CC[NH+](C)C)c1 | Cc1cc(C)cc(S(=O)(=O)[N-]c2ccc3nc(N4CCN([C@@H](C)CC(C)C)CC4)cc(C(=O)[O-])c3c2)c1 | CC(C)CNC(=O)c1cn(C2CCN(C(=O)c3ccccc3F)CC2)nn1 | Cn1ccnc1[C@@H](NC(=O)[C@@H]1C[C@@H]2C=C[C@H]1C2)c1ccc(F)cc1
2708,49980,ether,0.85,1.8090495041076065,"[#6]-,:[#7]-,:[#6]-,:[#6]-,:[#6]",5,Cc1c(F)cccc1NC(=O)N[C@H]1CCCN(C(=O)OC(C)(C)C)C1 | C[C@H]1CN(C(=O)c2ccc(F)c(F)c2)c2cc(F)ccc2C(=O)N1 | COc1cccc(C[NH+]2CCC[C@@]3(CCN(C(=O)CCc4nnc(C)[nH]4)C3)C2)c1OC | C[C@H](NC(=O)CN1C[C@H](C)OC[C@H]1C)c1ccco1 | O=C(c1ccco1)N(Cc1csc(COc2cc(Cl)ccc2Cl)n1)C1CC1
1943,49946,chiral_center,1.0,1.0029084344599337,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]",7,C[C@@H](C[NH2+][C@H]1CCN(C2CC2)C1)c1nc(-c2ccccc2)no1 | CC(C)Oc1ccc(CN2C(=O)c3cc4occc4n3C[C@@]2(C)C(=O)N[C@@H]2CCCC[C@H]2C)cc1 | N#CC1(C(=O)Nc2cccc(S(=O)(=O)NCc3ccco3)c2)CCCC1 | CCCN1CCN(CC(=O)Nc2cc(N)ccc2Cl)CC1 | CC[C@H](C)NS(=O)(=O)c1ccc2c(c1)[C@H]1C=CC[C@H]1[C@@H](c1ccc(OC)c(OC)c1)N2
1749,49927,ring_N,0.95,1.2045443018714814,"[#6]-,:[#7]-,:[#6]-,:[#6]:,-[#6]",5,CCOc1ccccc1OCC(=O)O[C@@H](c1ccccc1)c1ccncc1 | Nn1c(S[C@@H]2CCCC[C@@H]2O)nnc1-c1[nH]nc2c1CCC2 | Cc1occc1C(=O)N[C@H](C)c1ccc(-c2ccncc2)cc1 | CCC(C)(C)N1C(=O)[C@H]2[C@H](C(=O)Nc3ccccc3F)[C@@H]3C=C[C@]2(O3)[C@@H]1C(=O)NC(C)(C)C | COCC[NH2+]Cc1ncoc1[C@@H]1CCO[C@@H]1C
