feature_id,n_active,best_concept,best_precision,best_lift,mcs_smarts,mcs_size,top_smiles
3024,15,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Oc1ccccc1C(=O)O | CC(N)C(=O)O | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O
1160,20,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Oc1ccccc1C(=O)O | CC(N)C(=O)O
742,15,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Oc1ccccc1C(=O)O | CC(N)C(=O)O
2742,22,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Oc1ccccc1C(=O)O | CC(N)C(=O)O
836,16,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,CC(N)C(=O)O | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Oc1ccccc1C(=O)O
1299,21,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O
1084,18,carboxylic_acid,1.0,5.166666666666667,"[#6]-,:[#6]-[#6](=[#8])-[#8]",5,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O
1257,20,amine_primary,0.6,4.65,[#6]-[#6]=[#8],3,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(N)=O | CC(N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O
2800,15,amine_primary,0.6,4.65,[#6]-[#6]-[#6],3,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C1CCC2CCCCC2C1 | CC(N)C(=O)O
603,13,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]-[#8]",4,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(=O)Oc1ccccc1C(=O)O | CC(N)C(=O)O
45,17,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]-[#8]",4,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(N)C(=O)O
1172,16,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]",3,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | FC(F)(F)c1ccccc1 | c1cc[nH]c1 | CC(N)C(=O)O
2344,16,amine_primary,0.6,4.65,[#6]-[#6]=[#8],3,CC(=O)Nc1ccc(O)cc1 | CC(=O)O | CC(N)C(=O)O | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O
2991,13,amine_primary,0.6,4.65,"[#8]-[#6]-,:[#6]",3,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | COC(C)=O
1570,17,amine_primary,0.6,4.65,[#6]-[#6]-[#6],3,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(N)C(=O)O | C1CCC2CCCCC2C1
379,13,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]-[#8]",4,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(N)C(=O)O
654,18,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]-[#8]",4,C[C@@H](N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O | C[C@H](N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(N)C(=O)O
680,17,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]-[#8]",4,CC(=O)Oc1ccccc1C(=O)O | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(N)C(=O)O
2067,16,amine_primary,0.6,4.65,[#6]-[#6]-[#6],3,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C1CCC2CCCCC2C1
2444,16,amine_primary,0.6,4.65,"[#6]-,:[#6]-,:[#6]-[#8]",4,CC(=O)Oc1ccccc1C(=O)O | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(N)C(=O)O
1631,17,carboxylic_acid,0.8,4.133333333333334,"[#6]-,:[#6]-,:[#6]-[#8]",4,CC(=O)Oc1ccccc1C(=O)O | CC(=O)Nc1ccc(O)cc1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1
2060,15,carboxylic_acid,0.8,4.133333333333334,"[#6]-,:[#6]-,:[#6]",3,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C1CCC2CCCCC2C1 | CC(=O)Oc1ccccc1C(=O)O
2517,19,carboxylic_acid,0.8,4.133333333333334,"[#6]-,:[#6]-,:[#6]-[#8]",4,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O | CC(=O)Nc1ccc(O)cc1
2485,17,carboxylic_acid,0.8,4.133333333333334,[#6]-[#6]=[#8],3,CC(=O)Nc1ccc(O)cc1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(=O)O
2953,17,carboxylic_acid,0.8,4.133333333333334,"[#6]-,:[#6]-,:[#6]-[#8]",4,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Nc1ccc(O)cc1 | CC(N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O | C[C@H](N)C(=O)O
278,19,carboxylic_acid,0.8,4.133333333333334,"[#6]-,:[#6]-,:[#6]-[#8]",4,CC(=O)Nc1ccc(O)cc1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O
2318,20,carboxylic_acid,0.8,4.133333333333334,"[#6]-,:[#6]-,:[#6]",3,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Oc1ccccc1C(=O)O | c1cc[nH]c1
114,25,aliphatic_ring,0.6,3.7199999999999998,"[#6](:,-[#6]:,-[#6]):,-[#6]",4,C1CCCCC1 | c1ccsc1 | c1ccncc1 | C1CCNCC1 | OC1CCCCC1
503,20,aliphatic_ring,0.6,3.7199999999999998,"[#6](:,-[#6]:,-[#6]):,-[#6]",4,OC1CCCCC1 | C1CCCCC1 | c1ccncc1 | c1ccsc1 | C1CCNCC1
903,25,ring_N,0.6,3.7199999999999998,,2,FC(F)(F)c1ccccc1 | CN1CCCC1c1cccnc1 | c1c[nH]cn1 | c1cc[nH]c1 | c1ccc2ccccc2c1
1386,15,ring_N,0.6,3.7199999999999998,"[#6]-,:[#6]-,:[#7]",3,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | c1cc[nH]c1 | c1c[nH]cn1 | CN1CCCC1c1cccnc1
2486,23,carboxylic_acid,0.6,3.1,,2,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CN1CCCC1c1cccnc1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | COC(C)=O
1733,16,carboxylic_acid,0.6,3.1,"[#6]-,:[#6]-,:[#6]",3,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(=O)Oc1ccccc1C(=O)O | CC(=O)Nc1ccc(O)cc1 | FC(F)(F)c1ccccc1
2261,28,carboxylic_acid,0.6,3.1,[#6]-[#6]=[#8],3,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(C)=O | CC(=O)Oc1ccccc1C(=O)O | COC(C)=O | CC(N)C(=O)O
506,15,carboxylic_acid,0.6,3.1,,2,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CN1CCCC1c1cccnc1 | c1c[nH]cn1 | CC(=O)O
1545,20,carboxylic_acid,0.6,3.1,,2,c1c[nH]cn1 | c1cc[nH]c1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(C)Cc1ccc(C(C)C(=O)O)cc1
638,28,carboxylic_acid,0.6,3.1,,2,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Nc1ccc(O)cc1 | c1ccc2ccccc2c1 | CC(=O)O | CC(=O)Oc1ccccc1C(=O)O
1808,15,carboxylic_acid,0.6,3.1,[#6]-[#6]=[#8],3,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(N)C(=O)O | CC(=O)Nc1ccc(O)cc1 | CC(N)=O | C[C@H](N)C(=O)O
601,17,carboxylic_acid,0.6,3.1,"[#6]-,:[#6]-,:[#6]",3,c1ccc2ccccc2c1 | C1CCC2CCCCC2C1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O
2404,28,carboxylic_acid,0.6,3.1,[#6]-[#6]=[#8],3,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)=O | COC(C)=O | CC(C)Cc1ccc(C(C)C(=O)O)cc1
1950,14,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Nc1ccc(O)cc1 | CC(C)=O | COC(C)=O | CC(N)C(=O)O
650,16,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,COC(C)=O | CC(C)=O | C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(=O)Nc1ccc(O)cc1
280,16,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Nc1ccc(O)cc1 | CC(N)C(=O)O | COC(C)=O | CC(C)=O
2172,19,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,CC(N)=O | CC(N)C(=O)O | COC(C)=O | CC(C)=O | CC(=O)Nc1ccc(O)cc1
690,15,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(N)=O | COC(C)=O | CC(C)=O
2949,18,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,COC(C)=O | CC(C)=O | CCC=O | CC(N)=O | CC(N)C(=O)O
2188,19,carbonyl_any,1.0,2.818181818181818,[#6]-[#6]=[#8],3,COC(C)=O | CC(C)=O | CC(=O)Nc1ccc(O)cc1 | CC(N)=O | CCC=O
1978,30,carbonyl_any,0.8,2.2545454545454544,,2,C[C@@H](N)C(=O)O | C[C@H](N)C(=O)O | CC(C)=O | COC(C)=O | FC(F)(F)c1ccccc1
2996,31,carbonyl_any,0.8,2.2545454545454544,,2,c1ccc2ccccc2c1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | CC(C)=O | COC(C)=O
1943,24,aromatic_ring_any,1.0,1.9375,,2,c1ccc2ccccc2c1 | c1cc[nH]c1 | c1c[nH]cn1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Nc1ccc(O)cc1
1252,16,benzene,0.6,1.8599999999999999,"[#6](:,-[#6]:,-[#6]:,-[#6]):,-[#6]:,-[#6]",6,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)Nc1ccc(O)cc1 | CC(=O)Oc1ccccc1C(=O)O | C1CCC2CCCCC2C1 | CN1CCCC1c1cccnc1
2757,21,hydroxyl,0.6,1.8599999999999999,,2,c1cc[nH]c1 | c1c[nH]cn1 | CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(=O)O | CC(=O)Nc1ccc(O)cc1
610,17,benzene,0.6,1.8599999999999999,"[#6]-,:[#6](:,-[#6]:,-[#6]:,-[#6]):,-[#6]:,-[#6]",7,c1ccc2ccccc2c1 | C1CCC2CCCCC2C1 | CC(=O)Oc1ccccc1C(=O)O | CN1CCCC1c1cccnc1 | FC(F)(F)c1ccccc1
1659,16,hydroxyl,0.6,1.8599999999999999,"[#6]-,:[#6]-,:[#7]",3,C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | c1c[nH]cn1 | c1cc[nH]c1 | CC(=O)Nc1ccc(O)cc1
1809,14,carbonyl_any,0.6,1.6909090909090907,,2,CC(C)Cc1ccc(C(C)C(=O)O)cc1 | CC(N)C(=O)O | CC(N)=O | c1c[nH]cn1 | c1cc[nH]c1
382,18,carbonyl_any,0.6,1.6909090909090907,,2,CC(N)=O | COC(C)=O | CC(C)=O | c1c[nH]cn1 | c1cc[nH]c1
1493,19,aromatic_ring_any,0.8,1.55,,2,c1ccc2ccccc2c1 | c1cc[nH]c1 | FC(F)(F)c1ccccc1 | c1c[nH]cn1 | CC(N)=O
1745,28,aromatic_ring_any,0.8,1.55,,2,CC(=O)Nc1ccc(O)cc1 | FC(F)(F)c1ccccc1 | c1c[nH]cn1 | c1cc[nH]c1 | COC(C)=O
2868,26,aromatic_ring_any,0.8,1.55,"[#6](:,-[#6]:,-[#6]):,-[#6]",4,c1ccsc1 | c1cc[nH]c1 | c1ccc2ccccc2c1 | C1CCNCC1 | c1ccoc1
2729,15,,0.0,0.0,,2,c1cc[nH]c1 | c1c[nH]cn1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | FC(F)(F)c1ccccc1
844,23,,0.0,0.0,"[#6]-,:[#6]-,:[#6]",3,C1CCC2CCCCC2C1 | c1ccc2ccccc2c1 | CN1CCCC1c1cccnc1 | C[C@H](N)C(=O)O | c1cc[nH]c1
1851,21,,0.0,0.0,,2,c1cc[nH]c1 | c1c[nH]cn1 | c1ccc2ccccc2c1 | C[C@H](N)C(=O)O | C1CCC2CCCCC2C1
1055,25,,0.0,0.0,"[#6](:,-[#6]:,-[#6]):,-[#6]",4,c1ccncc1 | C1CCNCC1 | c1ccsc1 | c1ccoc1 | OC1CCCCC1
2148,13,,0.0,0.0,,2,c1cc[nH]c1 | c1c[nH]cn1 | C[C@H](N)C(=O)O | C[C@@H](N)C(=O)O | FC(F)(F)c1ccccc1
