feature_id,n_active,best_concept,best_precision,best_lift,mcs_smarts,mcs_size,top_smiles
1502,22979,alkene,1.0,24.92522432701894,"[#6]-,:[#6](-,:[#6])-,:[#6]",4,Cc1nc2cc(C(=O)N3CCN(S(=O)(=O)/C=C/c4ccccc4)CC3)ccc2n1-c1ccccc1 | COc1ccc(NC(=O)CCNS(=O)(=O)/C=C/c2ccccc2)cc1 | Cc1ocnc1CNS(=O)(=O)/C=C/c1ccc(Cl)cc1 | Cc1ccnc(NC(=O)CCNS(=O)(=O)/C=C/c2ccccc2)c1 | COC(=O)[C@H](NS(=O)(=O)/C=C/c1ccc(C)cc1)c1ccc(C)cc1
1699,6374,alkene,1.0,24.92522432701894,"[#6]-,:[#6]-,:[#6](:,-[#6]):,-[#6]",5,CC(C)C[C@@H](CNC(=O)C/C=C/c1ccc(F)cc1)[NH+](C)C | COCCN1CC[NH+](C/C=C/c2ccccc2)C[C@H]1C | C[C@@H]1C[NH+](C/C=C/c2ccccc2)C(C)(C)CO1 | COc1ccc(C[NH+](C/C=C/c2ccc(C#N)cc2)CCO)c(OC)c1 | Cc1cccc(NC(=O)[C@@H]2CCC[NH+](C/C=C/c3ccco3)C2)n1
421,6323,alkene,1.0,24.92522432701894,"[#6]-[#6]-,:[#7]-,:[#6]-,:[#6]:,-[#6]",6,C=CCCC[NH+](C)CC(=O)N(CCC#N)c1cccc(C)c1C | C=CC[NH+](Cc1cn(C)c(=O)n(C)c1=O)CC1CCCCC1 | C=CCCC[NH+](C)CC(=O)c1c(C)[nH]c(C(=O)OCC)c1C | C=CCC[C@H](C)[NH+]1CCC(C(=O)NCC(=O)OCC)CC1 | C=CCCC[C@@H](C)[NH+]1CCC(N(CC(F)(F)F)S(C)(=O)=O)CC1
1741,12756,alkene,1.0,24.92522432701894,"[#6]-,:[#6]:,-[#6]:,-[#6]:,-[#6]-,:[#6]",6,CC/C(=C\c1ccc2ccccc2[nH+]1)CO | CC/C(=C\c1ccc(-c2cccc(Cl)c2)s1)C[NH2+]C | C/C(=C/C(=O)NCCCOC(C)C)c1ccc(F)cc1F | CC/C(=C\c1cnc2ccccc2n1)CO | C/C(=C\c1ccccc1)C[NH+]1CC[C@H](CNS(=O)(=O)C2CC2)C1
1522,8440,alkene,1.0,24.92522432701894,[#6](=[#8])-[#6](=[#6])-[#6],5,COC(=O)C1=C(N)Oc2cc(C)n(CCO)c(=O)c2[C@@H]1c1cccnc1 | CCOC(=O)C1=C(C)N(C)C(O)=[NH+][C@H]1c1ccccc1OC(F)F | CCOC(=O)C1=C(C)[NH+]=C2N=C(C(F)(F)F)NN2[C@@H]1c1ccc(C(C)C)cc1 | CCOC(=O)C1=C(C)C(C(=O)c2cc3cc(Br)ccc3o2)=[NH+][C@@H]1C | CCN(CC)C(=O)C1=C(C)N=C2[NH+]=CNN2[C@H]1c1cccnc1
192,6397,trifluoromethyl,1.0,24.679170779861796,"[#6]-,:[#6](-,:[#6])-,:[#6]-,:[#6]",5,Cc1cc(C#N)ccc1S(=O)(=O)N[C@H]1CCC[C@@H](C(F)(F)F)C1 | CCC[NH2+]C[C@@H](C)[C@@H](C)N1CCC[C@H](C(F)(F)F)C1 | Cc1ccccc1OC[C@H](O)CN1CCC[C@H](C(=O)NCC(F)(F)F)C1 | C[C@H](CC(C)(C)c1ccccc1)NC(=O)N1CCC[NH+](CC(F)(F)F)CC1 | O=C(Nc1cccnc1-n1cncn1)N[C@@H]1CCC[C@@H](C(F)(F)F)C1
2872,9240,trifluoromethyl,1.0,24.679170779861796,"[#6]-,:[#6]-,:[#6]-,:[#7]-,:[#6]-,:[#6]",6,CN(CCOc1ccccc1F)C(=O)C[NH+]1CC[C@@]([O-])(C(F)(F)F)C1 | COC(=O)[C@H](C)NC(=O)CCNc1ncc(C(F)(F)F)cc1Cl | O=C(O[C@@H]1CCCc2ccccc21)[C@@H]1CC(=O)N(CC(F)(F)F)C1 | CS(=O)(=O)c1ccccc1NC(=O)N[C@@H]1CC[NH+](CC(F)(F)F)C1 | COC(=O)[C@@]1(N)CCC[C@@H](n2cc(C(F)(F)F)cn2)C1
1710,7837,trifluoromethyl,1.0,24.679170779861796,"[#6]:,-[#6]:,-[#6]-[#6](-[#9])(-[#9])-[#9]",7,C[C@]([NH3+])(C(N)=O)c1cccc(C(F)(F)F)c1 | O=S(=O)([N-]c1cccc2[nH]ncc12)c1cccc(C(F)(F)F)c1 | C=CCCC(=O)c1cccc(C(F)(F)F)c1F | O=C(CSc1ncc2ccccn12)Nc1c(Cl)cccc1C(F)(F)F | O=C(CCc1ccc[nH+]c1)Nc1cccc(C(F)(F)F)c1
2150,11478,imidazole,1.0,23.696682464454977,[#6]-[#6]1:[#7]:[#6]:[#6]:[#7]:1-[#6],7,CCC[C@H](CCCc1[nH+]ccn1CCC)[NH2+]CC | CCCN[C@H](c1[nH+]ccn1CC)[C@@](C)(CC)[NH+]1CCCC1 | CCN[C@H](c1[nH+]ccn1C)[C@](C)(CC)[NH+](C)C | CN[C@H](Cc1[nH+]ccn1C)c1ccccc1Cl | CC[C@@H](N)[C@@](O)(Cc1[nH+]ccn1CC)C(F)(F)F
788,9741,bromine,1.0,22.893772893772898,"[#6]-,:[#6]-,:[#6]-,:[#6]:[#6]:[#6]-[#35]",7,Cc1ccc(-c2noc(COc3cc(C)c(Br)c(C)c3)n2)cc1 | CCC[C@H]1C[C@@]1(O)Cc1cccc(Br)c1 | COC(=O)c1cn(C(=O)c2cccc(Br)c2)c2ccccc12 | Cc1ccc(Nc2cc(C)ccc2N)c(Br)c1 | COC1CCN(C(=O)Cc2ccc(F)c(Br)c2)CC1
