best_concept,n_features,best_feature_id,best_precision,best_lift,top_smiles
alkene,7,1699,1.0,24.92522432701894,CC(C)C[C@@H](CNC(=O)C/C=C/c1ccc(F)cc1)[NH+](C)C | COCCN1CC[NH+](C/C=C/c2ccccc2)C[C@H]1C | C[C@@H]1C[NH+](C/C=C/c2ccccc2)C(C)(C)CO1 | COc1ccc(C[NH+](C/C=C/c2ccc(C#N)cc2)CCO)c(OC)c1 | Cc1cccc(NC(=O)[C@@H]2CCC[NH+](C/C=C/c3ccco3)C2)n1
trifluoromethyl,5,1710,1.0,24.679170779861796,C[C@]([NH3+])(C(N)=O)c1cccc(C(F)(F)F)c1 | O=S(=O)([N-]c1cccc2[nH]ncc12)c1cccc(C(F)(F)F)c1 | C=CCCC(=O)c1cccc(C(F)(F)F)c1F | O=C(CSc1ncc2ccccn12)Nc1c(Cl)cccc1C(F)(F)F | O=C(CCc1ccc[nH+]c1)Nc1cccc(C(F)(F)F)c1
imidazole,1,2150,1.0,23.696682464454977,CCC[C@H](CCCc1[nH+]ccn1CCC)[NH2+]CC | CCCN[C@H](c1[nH+]ccn1CC)[C@@](C)(CC)[NH+]1CCCC1 | CCN[C@H](c1[nH+]ccn1C)[C@](C)(CC)[NH+](C)C | CN[C@H](Cc1[nH+]ccn1C)c1ccccc1Cl | CC[C@@H](N)[C@@](O)(Cc1[nH+]ccn1CC)C(F)(F)F
bromine,1,788,1.0,22.893772893772898,Cc1ccc(-c2noc(COc3cc(C)c(Br)c(C)c3)n2)cc1 | CCC[C@H]1C[C@@]1(O)Cc1cccc(Br)c1 | COC(=O)c1cn(C(=O)c2cccc(Br)c2)c2ccccc12 | Cc1ccc(Nc2cc(C)ccc2N)c(Br)c1 | COC1CCN(C(=O)Cc2ccc(F)c(Br)c2)CC1
cyclopentane,2,622,0.75,17.329020332717192,CC[NH2+][C@@]1(C(N)=O)CCC[C@H]1CC[NH+](C)CC1CC1 | C[NH2+][C@]1(C(N)=O)CCC[C@H]1CCN1CCC[NH+](C)CC1 | C[NH2+][C@]1(C(N)=O)CCC[C@@H]1CC[NH+]1CCC(C)CC1 | C[NH2+][C@@]1(C(N)=O)CCC[C@@H]1CCOC[C@@H]1CCCO1 | C[NH2+][C@]1(C(N)=O)CCC[C@H]1CC[NH+](C)CC(C)C
cyclohexane,1,2408,1.0,17.241379310344826,N#CCCN[C@H]1CCCC[C@H]1[C@@H]1CCC[NH2+]1 | C[C@H]1CCCC[C@@H]1OCCNC(=O)[C@@H]1CCCN(c2cnccn2)C1 | COC(=O)[C@@H]1CCCC[C@@H]1NC(=O)C1CCCC1 | C[C@H]1CCCC[C@H]1OCCNC(=O)Nc1ccc(N2CCCC2=O)c(Cl)c1 | CCCCNC(=O)[C@@H]1CCCC[C@@H]1C(=O)N1CCN(c2cc[nH+]cc2)CC1
sulfide,2,1,1.0,14.0964195094446,COc1ccccc1NC(=O)CSc1nnc(CNc2ccc(C)c(Cl)c2)n1C[C@@H]1CCCO1 | COc1ccccc1NC(=O)CSc1nnc(-c2ccc(NC(C)=O)cc2)n1C | CCc1ccccc1NC(=O)CSc1nnc(C2CC2)n1C[C@H]1CCCO1 | COC(=O)c1ccccc1NC(=O)CSc1nnc(CNc2cccc3ccccc23)n1-c1ccccc1 | COc1ccc(NC(=O)CSc2nnc(-c3ccccc3Cl)n2-c2ccc(Cl)cc2)cc1
sulfonamide,6,1894,1.0,13.60544217687075,Cc1ccc(C)c(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCCCC3)c2)c1 | CCOC(=O)c1cccc(NC(=O)c2ccc(C)c(S(=O)(=O)N3CCCC3)c2)c1C | Cc1ccc2c(=O)cc(C(=O)Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)oc2c1 | Cc1cc(C)cc(-c2nnc(/N=C(\[O-])c3ccc(S(=O)(=O)N4CCCCC4)cc3)o2)c1 | O=C(Nc1ccc2c(c1)OCCO2)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl
ester,1,559,1.0,12.648621300278268,C=CCCC[NH+](C)CC(=O)c1c(C)[nH]c(C(=O)OCC)c1C | CCCCCNc1nc(C)c(C(=O)OCC)s1 | CCOC(=O)c1sc(NC(=O)[C@H]2CC=CC[C@H]2C(=O)[O-])c(C(=O)OCC)c1C | CCOCCn1/c(=N/C(=O)c2cc3cccc(OC)c3o2)sc2cc(C(=O)OCC)ccc21 | CCNC(=O)CN(CC)c1cccc(C(=O)OCC)n1
thiophene,1,1247,0.8,10.576414595452142,CCCNCc1ccc(S(=O)(=O)N(CC)C[C@@H](C)CC)s1 | Cc1ccc(C(=O)NCc2cn[nH]c2N)s1 | Cc1ccc(S(=O)(=O)N2CCC[C@@H]2C(=O)N(C)c2cccc(C(C)C)c2)s1 | Cc1ccc(C(=O)OCC(=O)c2ccc(O)cc2O)s1 | CCc1ccc(S(=O)(=O)NCC(=O)NC(C)(C)C)s1
